기업 이름,복지 카테고리,복지 혜택
'(주)드라마앤컴퍼니'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '심리치료', '명절 선물 및 귀향비 지원', '주택 지원 대출', '웰컴키트 지급', '경조사 지원금', '자율 및 탄력 근무 제도', '야간 교통비 지원', '재택 근무제도', '통근버스 운행', '주차장 및 주차비 지원', '유류비 지원', '인센티브 및 성과급', '생일 선물 지원', '우수사원 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '연차 수당', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '구내 식당 및 카페테리아 운영', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '도서구입비 지원', '어학 교육비 지원', '멘토링 제도 운영', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
'(주)액션스퀘어'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '자율 및 탄력 근무 제도', '절반 근무 및 문화 데이', '장기근속자 금전포상', '연차 수당', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원']"
'일렉트로닉아츠코리아(유)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '사내 병원', '웰컴키트 지급', '경조사 지원금', '명절 선물 및 귀향비 지원', '선택적 복리후생', '자사 제품 직원 할인', '임신/출산 선물', '콘도 및 휴양시설 지원', '야간 교통비 지원', '주차장 및 주차비 지원', '재택 근무제도', '통근버스 운행', '자율 및 탄력 근무 제도', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '생일 선물 지원', '연차 수당', '병가 (유급/무급)', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '휴직 (유급/무급)', '크리스마스 휴가', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '사내 동호회 지원', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '어학 교육비 지원', '컨퍼런스 개최 및 지원', '복지 포인트']"
,,
'(주)카카오모빌리티'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '주택 지원 대출', '명절 선물 및 귀향비 지원', '자사 제품 직원 할인', '웰컴키트 지급', '경조사 지원금', '직원 대출 지원', '콘도 및 휴양시설 지원', '임신/출산 선물', '자녀 학자금 지원', '선택적 복리후생', '재택 근무제도', '통근버스 운행', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주 4일 / 주 4.5일 근무', '주차장 및 주차비 지원', '마지막주 금요일 3시간조기퇴근', '인센티브 및 성과급', '연차 수당', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '생일 선물 지원', '장기근속자 금전포상', '카카오티포인트', '대출 이자 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '육아 휴직', '본인 출산 휴가', '병가 (유급/무급)', '임산부 단축근무', '휴직 (유급/무급)', '리프레쉬/장기근속 휴가', '보건 휴가', '창립 기념일 휴무', '구내 식당 및 카페테리아 운영', '스탠딩 책상 지원', '무료 간식 및 음료 제공', '어린이집 지원/운영', '사내 동호회 지원', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '최고 성능 PC/노트북 지원', '아침/점심/저녁식사 지원 제공', '업무용 소프트 웨어 제공', '애완 동물 친화', '컨퍼런스 개최 및 지원', '도서구입비 지원', '자격증 취득 지원', '어학 교육비 지원', '기타 자기계발비 지원', '멘토링 제도 운영']"
'맨텍(주)'의 복지,"['지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '교육/자기계발']","['통신비 지원', '명절 선물 및 귀향비 지원', '야간 교통비 지원', '유류비 지원', '재택 근무제도', '인센티브 및 성과급', '반차 및 시간제 연차 사용', '도서구입비 지원', '기타 자기계발비 지원']"
'텀블벅(주)'의 복지,"['의료/건강', '지원 제도', '급여/보상', '연차/휴가', '근무환경']","['채용검진', '명절 선물 및 귀향비 지원', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '병가 (유급/무급)', '반차 및 시간제 연차 사용', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공']"
'(주)슈퍼크리에이티브'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '직원 대출 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '주택 지원 대출', '웰컴키트 지급', '야간 교통비 지원', '주차장 및 주차비 지원', '절반 근무 및 문화 데이', '유류비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '야근 및 휴일 특근 수당', '연차 수당', '인센티브 및 성과급', '생일 선물 지원', '우수사원 금전포상', '장기근속자 금전포상', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '오아시스 휴가', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원']"
'(주)코이노'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '연차/휴가', '근무환경', '교육/자기계발']","['체력단련비 지원', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '주차장 및 주차비 지원', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '도서구입비 지원']"
'엠비아이솔루션(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '웰컴키트 지급', '경조사 지원금', '명절 선물 및 귀향비 지원', '야간 교통비 지원', '자율 및 탄력 근무 제도', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '도서구입비 지원', '기타 자기계발비 지원']"
'지식시스템(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['체력단련비 지원', '통신비', '명절 선물 및 귀향비 지원', '통신비 지원', '선택적 복리후생', '자율 및 탄력 근무 제도', '야간 교통비 지원', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '구내 식당 및 카페테리아 운영', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원', '자격증 취득 지원']"
'(주)네오플'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '사택/기숙사 운영 및 지원', '주택 지원 대출', '웰컴키트 지급', '복지 사이트 이용', '통근버스 운행', '유류비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '인센티브 및 성과급', '생일 선물 지원', '야근 및 휴일 특근 수당', '연차 수당', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '창립 기념일 휴무', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원', '어학 교육비 지원', '멘토링 제도 운영']"
'(주)자버'의 복지,"['지원 제도', '교통/출퇴근', '급여/보상']","['경조사 지원금', '자율 및 탄력 근무 제도', '재택 근무제도', '청년 내일 채움 공제 지원']"
,,
'아이티스정보통신(주)'의 복지,"['의료/건강', '지원 제도', '급여/보상', '교육/자기계발']","['의료비 지원 (본인,가족)', '통신비 지원', '우수사원 금전포상', '장기근속자 금전포상', '기타 자기계발비 지원']"
'(주)클루커스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '체력단련비 지원', '불임부부 지원', '사내 병원', '무료 진료 지정 병원', '통신비 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '임신/출산 선물', '자사 제품 직원 할인', '콘도 및 휴양시설 지원', '사택/기숙사 운영 및 지원', '주택 지원 대출', '직원 대출 지원', '자녀 학자금 지원', '선택적 복리후생', '야간 교통비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '주차장 및 주차비 지원', '유류비 지원', '생일 선물 지원', '우리 사주 및 스톡옵션', '청년 내일 채움 공제 지원', '우수사원 금전포상', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '장기근속자 금전포상', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '안마실 및 안마 의자 운영', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '사내 동호회 지원', '업무용 소프트 웨어 제공', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '자격증 취득 지원', '도서구입비 지원', '기타 자기계발비 지원', '어학 교육비 지원', '컨퍼런스 개최 및 지원']"
,,
'엔테크서비스(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '사내 병원', '콘도 및 휴양시설 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '직원 대출 지원', '주택 지원 대출', '자사 제품 직원 할인', '웰컴키트 지급', '사택/기숙사 운영 및 지원', '통신비 지원', '선택적 복리후생', '임신/출산 선물', '재택 근무제도', '자율 및 탄력 근무 제도', '야간 교통비 지원', '주차장 및 주차비 지원', '절반 근무 및 문화 데이', '통근버스 운행', '유류비 지원', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '연차 수당', '퇴직연금 및 퇴직금', '우수사원 금전포상', '장기근속자 금전포상', '창립 기념일 휴무', '반차 및 시간제 연차 사용', '리프레쉬/장기근속 휴가', '보건 휴가', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '본인 출산 휴가', '휴직 (유급/무급)', '육아 휴직', '배우자 출산 휴가', '임산부 단축근무', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '수면실 및 휴게실 운영', '무료 간식 및 음료 제공', '구내 식당 및 카페테리아 운영', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '어린이집 지원/운영', '아침/점심/저녁식사 지원 제공', '사내 동호회 지원', '도서구입비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원', '기타 자기계발비 지원', '멘토링 제도 운영', '어학 교육비 지원']"
'웍스모바일(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '주택 지원 대출', '재택 근무제도']"
'(주)딥핑소스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '상해/실손 보험 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '재택 근무제도', '자율 및 탄력 근무 제도', '퇴직연금 및 퇴직금', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원']"
'(주)비바리퍼블리카'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '사내 병원', '무료 진료 지정 병원', '통신비 지원', '웰컴키트 지급', '경조사 지원금', '명절 선물 및 귀향비 지원', '주택 지원 대출', '직원 대출 지원', '자녀 학자금 지원', '선택적 복리후생', '콘도 및 휴양시설 지원', '임신/출산 선물', '사택/기숙사 운영 및 지원', '재택 근무제도', '자율 및 탄력 근무 제도', '야간 교통비 지원', '주 4일 / 주 4.5일 근무', '주차장 및 주차비 지원', '통근버스 운행', '절반 근무 및 문화 데이', '인센티브 및 성과급', '퇴직연금 및 퇴직금', '야근 및 휴일 특근 수당', '연차 수당', '우리 사주 및 스톡옵션', '생일 선물 지원', '장기근속자 금전포상', '우수사원 금전포상', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '본인 출산 휴가', '여름 휴가', '휴직 (유급/무급)', '창립 기념일 휴무', '육아 휴직', '임산부 단축근무', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '업무용 소프트 웨어 제공', '사내 동호회 지원', '스탠딩 책상 지원', '어린이집 지원/운영', '샤워실', '도서구입비 지원', '기타 자기계발비 지원', '어학 교육비 지원', '자격증 취득 지원', '대학원, 유학 지원', '컨퍼런스 개최 및 지원', '본인 학자금 지원', '멘토링 제도 운영']"
'(주)새움소프트'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '야간 교통비 지원', '유류비 지원', '창립 기념일 휴무', '애완 동물 친화', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '멘토링 제도 운영']"
'(주)힐링페이퍼'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '주택 지원 대출', '웰컴키트 지급', '직원 대출 지원', '자사 제품 직원 할인', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '재택 근무제도', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '연차 수당', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '사내 동호회 지원', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
,,
'(주)토큰포스트'의 복지,"['지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['경조사 지원금', '명절 선물 및 귀향비 지원', '절반 근무 및 문화 데이', '퇴직연금 및 퇴직금', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '여름 휴가', '반차 및 시간제 연차 사용', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공']"
'에너지엑스(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '자율 및 탄력 근무 제도', '생일 선물 지원', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원']"
'(주)라이트브레인'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '명절 선물 및 귀향비 지원', '경조사 지원금', '콘도 및 휴양시설 지원', '웰컴키트 지급', '야간 교통비 지원', '절반 근무 및 문화 데이', '인센티브 및 성과급', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '연차 수당', '생일 선물 지원', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '여름 휴가', '최고 성능 PC/노트북 지원', '사내 동호회 지원', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '도서구입비 지원', '멘토링 제도 운영']"
'(주)모코엠시스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '자녀 학자금 지원', '통신비 지원', '명절 선물 및 귀향비 지원', '야간 교통비 지원']"
'(주)신시웨이'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '사택/기숙사 운영 및 지원', '주택 지원 대출', '통신비 지원', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '야간 교통비 지원', '유류비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '연차 수당', '생일 선물 지원', '야근 및 휴일 특근 수당', '우리 사주 및 스톡옵션', '청년 내일 채움 공제 지원', '병가 (유급/무급)', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '육아 휴직', '임산부 단축근무', '여름 휴가', '자격증 취득 지원']"
'(주)에이아이트릭스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '재택 근무제도', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '여름 휴가', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원']"
'(주)드제이'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['체력단련비 지원', '건강검진 지원 (본인/배우자)', '무료 진료 지정 병원', '웰컴키트 지급', '선택적 복리후생', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '주차비 지원', '자율 및 탄력 근무 제도', '야간 교통비 지원', '재택 근무제도', '주 4일 / 주 4.5일 근무', '절반 근무 및 문화 데이', '인센티브 및 성과급', '생일 선물 지원', '퇴직연금 및 퇴직금', '야근 및 휴일 특근 수당', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '무료 간식 및 음료 제공', '사내 동호회 지원', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원']"
'(주)스트라드비젼'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '연차/휴가']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '선택적 복리후생', '웰컴키트 지급', '임신/출산 선물', '야간 교통비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '반차 및 시간제 연차 사용']"
,,
,,
'(주)제이시스'의 복지,['(주)제이시스의 특별한 복지'],"['문화데이', '사내 워크샵', '무료 간식 및 음료제공', '휴게공간 운영', '장기근속자 금전포상', '경조사지원금', '생일 선물 지원', '인세티브 및 성과급', '자기개발비 지원(교육 및 체력단련등)', '선택적근로제']"
'라쿠텐'의 복지,"['교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['재택 근무제도', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '본인 출산 휴가', '병가 (유급/무급)', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '스탠딩 책상 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공']"
'(주)사이버텔브릿지'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '경조사 지원금', '선택적 복리후생', '자사 제품 직원 할인', '자율 및 탄력 근무 제도', '주 4일 / 주 4.5일 근무', '야간 교통비 지원', '주차장 및 주차비 지원', '재택 근무제도', '절반 근무 및 문화 데이', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '우수사원 금전포상', '야근 및 휴일 특근 수당', '연차 수당', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '여름 휴가', '구내 식당 및 카페테리아 운영', '무료 간식 및 음료 제공', '어학 교육비 지원', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원']"
'(주)엑스퍼넷'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['무료 진료 지정 병원', '명절 선물 및 귀향비 지원', '야간 교통비 지원', '자율 및 탄력 근무 제도', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '생일 선물 지원', '창립 기념일 휴무', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원', '자격증 취득 지원']"
'(주)엔씨소프트'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '사내 병원', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '체력단련비 지원', '불임부부 지원', '무료 진료 지정 병원', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '경조사 지원금', '웰컴키트 지급', '주택 지원 대출', '직원 대출 지원', '선택적 복리후생', '자사 제품 직원 할인', '통신비 지원', '자녀 학자금 지원', '임신/출산 선물', '복지카드 지급', '자율 및 탄력 근무 제도', '야간 교통비 지원', '주차장 및 주차비 지원', '재택 근무제도', '통근버스 운행', '주 4일 / 주 4.5일 근무', '유류비 지원', '절반 근무 및 문화 데이', '인센티브 및 성과급', '야근 및 휴일 특근 수당', '생일 선물 지원', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '연차 수당', '복지카드', '창립 기념일 휴무', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '육아 휴직', '본인 출산 휴가', '여름 휴가', '휴직 (유급/무급)', '배우자 출산 휴가', '임산부 단축근무', '보건 휴가', '구내 식당 및 카페테리아 운영', '아침/점심/저녁식사 지원 제공', '수면실 및 휴게실 운영', '사내 동호회 지원', '업무용 소프트 웨어 제공', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '어린이집 지원/운영', '스탠딩 책상 지원', '헬스장 및 샤워실 운영', '물리치료실', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원', '어학 교육비 지원', '멘토링 제도 운영', '자격증 취득 지원', '대학원, 유학 지원', '본인 학자금 지원', '사내 도서관', '사내도서관', '자체 교육프로그램', '온라인 강의 교육', '자기계발 플랫폼 이용', '사내 교육 제도']"
'핀다'의 복지,"['핀다의 특별한 복지', '의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['업무 장비 지원금', '핀다 커스텀 워크', '전사 목표 달성 인센티브', '프리미엄 건강검진', '업계 최고 수준 보상', 'Special Day Off 연 2회', '무이자 사내 대출', '워케이션 제도', '스톡옵션 제공', '부모 휴가 지원', '건강검진 지원 (본인/배우자)', '체력단련비 지원', '웰컴키트 지급', '콘도 및 휴양시설 지원', '임신/출산 선물', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '연차 수당', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '리프레쉬/장기근속 휴가', '여름 휴가', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '사내 동호회 지원', '수면실 및 휴게실 운영', '무료 간식 및 음료 제공', '도서구입비 지원', '기타 자기계발비 지원']"
'(주)브라이센코리아'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '명절 선물 및 귀향비 지원', '야간 교통비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '우수사원 금전포상', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '연차 수당', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '결혼/장례 등 경조사 휴가', '육아 휴직', '반차 및 시간제 연차 사용', '무료 간식 및 음료 제공', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '어학 교육비 지원', '기타 자기계발비 지원']"
'(주)이브이알스튜디오'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '명절 선물 및 귀향비 지원', '야간 교통비 지원', '생일 선물 지원', '야근 및 휴일 특근 수당', '휴직 (유급/무급)', '여름 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공']"
'(주)클라우다이크'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '통근버스 운행', '자율 및 탄력 근무 제도', '재택 근무제도', '연차 수당', '여름 휴가', '반차 및 시간제 연차 사용', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '어학 교육비 지원']"
,,
